latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
30.91565,76.75532,308.9,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,286,1.7,N
30.91886,76.74358,304.7,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,286,2.5,N
30.91727,76.74938,324.4,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,286.7,2.5,N
30.92031,76.76311,317.8,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.4,3.5,N
30.92508,76.74563,320.4,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.9,2.7,N
30.91576,76.76456,299.5,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,285.5,2.2,N
30.91899,76.75303,319.1,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,285.6,3.2,N
30.92066,76.74706,318.6,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.2,5.1,N
30.91739,76.75874,320.1,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.2,3.2,N
30.92683,76.74928,308.3,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,286.6,2.5,N
30.92846,76.74348,320.5,0.57,0.69,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.7,2.5,N
31.45644,76.10116,323.6,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,288.2,4.4,N
31.45423,76.11069,310,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.4,1.3,N
31.46412,76.09779,301.3,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,284.8,2.6,N
31.45507,76.10616,313.8,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.8,2,N
31.4637,76.09829,299.5,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,285.8,0.8,N
31.4569,76.10064,317.6,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,286.7,3.3,N
31.02932,76.43529,299,0.54,0.68,2021-04-02,2130,N,VIIRS,n,2.0NRT,280.9,1,N
31.37062,76.39944,322.1,0.53,0.67,2021-04-02,2130,N,VIIRS,n,2.0NRT,287.7,4,N
31.36832,76.39927,324.8,0.53,0.67,2021-04-02,2130,N,VIIRS,n,2.0NRT,286.6,3.6,N
31.4537,76.11122,304.9,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,286.8,2,N
31.45557,76.10564,318.9,0.51,0.66,2021-04-02,2130,N,VIIRS,n,2.0NRT,288.1,3.3,N
30.93073,76.73429,349.7,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,307.3,4.2,D
30.67313,76.75158,343.1,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,306.2,2.3,D
31.36389,76.39826,367,0.41,0.6,2021-04-03,0706,N,VIIRS,h,2.0NRT,313.4,8.4,D
30.9087,76.76384,353.6,0.4,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,307.3,9.5,D
31.45514,76.09444,348,0.42,0.61,2021-04-03,0706,N,VIIRS,n,2.0NRT,306,4.5,D
30.90974,76.76807,367,0.4,0.6,2021-04-03,0706,N,VIIRS,h,2.0NRT,309.8,13.2,D
31.4496,76.09612,330.2,0.42,0.61,2021-04-03,0706,N,VIIRS,l,2.0NRT,304.3,4.5,D
31.36515,76.40331,344.7,0.41,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,307.7,9.6,D
31.35965,76.40482,343.5,0.41,0.6,2021-04-03,0706,N,VIIRS,n,2.0NRT,306.9,5.5,D
